id,x,y,z,yw,elvol,h_cell,eta_h
1425,-3.7000000000000002e+00,2.0000000000000000e-02,0.0000000000000000e+00,2.0000000000000000e-02,1.6000000000000001e-03,4.0000000000000001e-02,4.0816326530612249e-02
1474,-3.6600000000000001e+00,9.7999999999999998e-01,0.0000000000000000e+00,2.0000000000000000e-02,1.6000000000000001e-03,4.0000000000000001e-02,4.0816326530612249e-02
1450,-3.6600000000000001e+00,2.0000000000000000e-02,0.0000000000000000e+00,2.0000000000000000e-02,1.6000000000000001e-03,4.0000000000000001e-02,4.0816326530612249e-02
1499,-3.6200000000000001e+00,9.7999999999999998e-01,0.0000000000000000e+00,2.0000000000000000e-02,1.6000000000000001e-03,4.0000000000000001e-02,4.0816326530612249e-02
1475,-3.6200000000000001e+00,2.0000000000000000e-02,0.0000000000000000e+00,2.0000000000000000e-02,1.6000000000000001e-03,4.0000000000000001e-02,4.0816326530612249e-02
1524,-3.5800000000000001e+00,9.7999999999999998e-01,0.0000000000000000e+00,2.0000000000000000e-02,1.6000000000000001e-03,4.0000000000000001e-02,4.0816326530612249e-02
1500,-3.5800000000000001e+00,2.0000000000000000e-02,0.0000000000000000e+00,2.0000000000000000e-02,1.6000000000000001e-03,4.0000000000000001e-02,4.0816326530612249e-02
1525,-3.5400000000000000e+00,2.0000000000000000e-02,0.0000000000000000e+00,2.0000000000000000e-02,1.6000000000000001e-03,4.0000000000000001e-02,4.0816326530612249e-02
1549,-3.5400000000000000e+00,9.7999999999999998e-01,0.0000000000000000e+00,2.0000000000000000e-02,1.6000000000000001e-03,4.0000000000000001e-02,4.0816326530612249e-02
1550,-3.5000000000000000e+00,2.0000000000000000e-02,0.0000000000000000e+00,2.0000000000000000e-02,1.6000000000000001e-03,4.0000000000000001e-02,4.0816326530612249e-02
1574,-3.5000000000000000e+00,9.7999999999999998e-01,0.0000000000000000e+00,2.0000000000000000e-02,1.6000000000000001e-03,4.0000000000000001e-02,4.0816326530612249e-02
1575,-3.4600000000000000e+00,2.0000000000000000e-02,0.0000000000000000e+00,2.0000000000000000e-02,1.6000000000000001e-03,4.0000000000000001e-02,4.0816326530612249e-02
